,Date,PM2.5,PM10,NO2,SO2,CO,Ozone,NH3,PM2.5_SI,PM10_SI,NO2_SI,SO2_SI,CO_SI,Ozone_SI,NH3_SI,AQI,AQI_Category
213,2021-08-02,63.025670279520824,146.1393931398417,45.5988115942029,13.284890282131661,1.0491156462585034,39.65429371499689,29.582271540469975,107.91521923008833,130.99194577747872,56.777994054254926,16.606112852664577,,39.65429371499689,7.395567885117494,130.99194577747872,Moderate
214,2021-08-03,49.066205016357685,130.35286729857822,35.26820255982192,17.588307984790873,0.8859255202628696,24.786507424144613,38.9084376899696,81.52565675177678,120.50291182925667,44.085253199777405,21.98538498098859,44.29627601314348,24.786507424144613,9.7271094224924,120.50291182925667,Moderate
215,2021-08-04,35.917591362126245,104.3554652532391,16.391497005988022,15.207992932862192,0.5349999999999999,23.41256105197245,18.374911097486205,59.309033680834,103.22947020181658,20.489371257485026,19.00999116607774,26.749999999999996,23.41256105197245,4.593727774371551,103.22947020181658,Moderate
216,2021-08-05,26.856536514822846,76.20255627009647,10.724959239130435,11.489958158995815,0.5441586867305062,15.610300807043288,12.678499660556687,44.76089419137141,76.20255627009647,13.406199048913043,14.36244769874477,27.20793433652531,15.610300807043288,3.1696249151391718,76.20255627009647,Satisfactory
217,2021-08-06,16.32581484315226,39.39472178060413,13.094393251135626,14.985160758450125,0.35629380053908355,13.661195826645264,15.622061179898033,27.209691405253764,39.39472178060413,16.36799156391953,18.731450948062655,17.814690026954178,13.661195826645264,3.9055152949745082,39.39472178060413,Good
218,2021-08-07,22.607534324942794,55.539811205846526,14.322534418022528,14.151386918833728,0.5540496894409938,17.945985303941214,13.987377521613833,37.67922387490466,55.539811205846526,17.90316802252816,17.68923364854216,27.702484472049687,17.945985303941214,3.4968443804034584,55.539811205846526,Satisfactory
219,2021-08-08,25.08835189309577,61.220361938120256,12.098840922531046,15.094171696847754,0.590152224824356,18.721675094816685,17.77257425742574,41.81391982182628,61.220361938120256,15.123551153163808,18.867714621059694,29.507611241217802,18.721675094816685,4.443143564356435,61.220361938120256,Satisfactory
220,2021-08-09,13.134360636417206,28.88170870113493,14.019894932014832,11.650544588155208,0.789346016646849,14.347918523233611,15.961076115485564,21.890601060695346,28.88170870113493,17.52486866501854,14.56318073519401,39.46730083234245,14.347918523233611,3.990269028871391,39.46730083234245,Good
221,2021-08-10,21.17806900726392,51.574487455197136,16.669099225897256,11.005627530364373,0.8166781529979324,11.717070340826686,32.27859104046243,35.29678167877321,51.574487455197136,20.83637403237157,13.757034412955466,40.833907649896624,11.717070340826686,8.069647760115608,51.574487455197136,Satisfactory
222,2021-08-11,77.22769037130271,149.798246628131,24.63968021319121,17.133197329376856,0.9995017064846416,33.060671191553546,16.785632490013317,156.3979774744472,133.4229960817783,30.799600266489012,21.41649666172107,49.97508532423208,33.060671191553546,4.196408122503329,156.3979774744472,Moderate
223,2021-08-12,90.98381489841987,182.4548501664817,30.319597701149423,13.478188358404187,1.02475495915986,26.964386885245904,15.58655006031363,,155.12100782873617,37.89949712643678,16.847735448005235,,26.964386885245904,3.8966375150784076,155.12100782873617,Moderate
224,2021-08-13,19.958394285714288,50.16788856304985,12.195811298076924,11.441569806279224,0.5894310850439883,13.642231903485253,17.96799876466955,33.26399047619048,,15.244764122596155,14.30196225784903,29.471554252199418,13.642231903485253,4.491999691167387,33.26399047619048,Good
225,2021-08-14,17.882191936399774,46.84437101449275,12.186901162790699,11.451105929380413,0.6079394977168949,14.32871710526316,14.792824242424242,29.80365322733296,46.84437101449275,15.233626453488373,14.313882411725515,30.396974885844745,14.32871710526316,3.6982060606060605,46.84437101449275,Good
226,2021-08-15,17.42276140958983,39.021550295857985,12.538642943305186,12.960849629130141,0.7528924162257496,11.933328767123287,11.028482490272372,29.03793568264972,39.021550295857985,15.673303679131482,16.201062036412676,37.64462081128748,11.933328767123287,2.757120622568093,39.021550295857985,Good
227,2021-08-16,20.3855593220339,43.92084167157151,15.696079478054568,13.333538767395627,0.8294574095682614,11.971893732970027,12.497584196891191,33.97593220338983,43.92084167157151,19.62009934756821,16.666923459244533,41.47287047841307,11.971893732970027,3.124396049222798,43.92084167157151,Good
228,2021-08-17,19.43790632054176,45.00909480122324,14.254645858343338,12.283596059113302,0.6881916817359855,14.040779685264663,12.670200777202073,32.39651053423627,45.00909480122324,17.818307322929172,15.354495073891627,34.40958408679928,14.040779685264663,3.167550194300518,45.00909480122324,Good
229,2021-08-18,17.401678403755866,35.566870882740446,13.444651162790697,11.391317944899479,0.7442929613189601,12.173876197494474,11.30175414364641,29.002797339593112,35.566870882740446,16.80581395348837,14.239147431124348,37.214648065948005,12.173876197494474,2.8254385359116023,37.214648065948005,Good
230,2021-08-19,17.082858823529413,34.64180823680824,14.846806930693068,11.956053184044787,0.71248786407767,10.132512562814071,10.788152531229454,28.471431372549024,34.64180823680824,18.558508663366336,14.945066480055985,35.6243932038835,10.132512562814071,2.6970381328073634,35.6243932038835,Good
231,2021-08-20,16.48318739054291,33.47346914319952,12.673563076923077,12.373061362103844,0.7171755725190839,8.939003389830509,10.194005252790545,27.471978984238184,33.47346914319952,15.841953846153846,15.466326702629804,35.858778625954194,8.939003389830509,2.548501313197636,35.858778625954194,Good
232,2021-08-21,14.10587597832631,31.16351851851852,13.995250659630607,11.165176132278937,0.641651148355059,12.472732035928143,9.426666666666666,23.509793297210518,31.16351851851852,17.49406332453826,13.956470165348671,32.08255741775295,12.472732035928143,2.3566666666666665,32.08255741775295,Good
233,2021-08-22,19.31372267332917,44.92894361633182,13.429212903225805,11.91635775862069,0.7387446417636252,9.007978494623655,9.701848137535817,32.18953778888195,44.92894361633182,16.786516129032258,14.895447198275862,36.93723208818126,9.007978494623655,2.4254620343839544,44.92894361633182,Good
234,2021-08-23,19.440535031847133,49.92197620621282,11.063267973856208,11.413719943422914,0.6796389228886168,9.244071942446043,9.434371894960966,32.400891719745225,49.92197620621282,13.82908496732026,14.267149929278641,33.98194614443084,9.244071942446043,2.3585929737402416,49.92197620621282,Good
235,2021-08-24,16.182681304058548,42.878968609865474,10.166887287024903,11.990753623188407,0.6264643962848297,9.166562277580072,10.029894662921349,26.97113550676425,42.878968609865474,12.708609108781129,14.98844202898551,31.323219814241487,9.166562277580072,2.507473665730337,42.878968609865474,Good
236,2021-08-25,17.01513409961686,45.62425322679779,9.74746761658031,11.52576512455516,0.6379805942995754,8.170685296074518,12.550040899795501,28.358556832694767,45.62425322679779,12.184334520725388,14.407206405693952,31.89902971497877,8.170685296074518,3.1375102249488753,45.62425322679779,Good
237,2021-08-26,15.108243992606285,39.62253631961259,10.229148936170212,10.73045102184637,0.6333597078514911,9.819980340760157,12.217156659765354,25.18040665434381,39.62253631961259,12.786436170212765,13.413063777307963,31.667985392574554,9.819980340760157,3.0542891649413386,39.62253631961259,Good
238,2021-08-27,18.610274999999998,49.53742785445421,13.067783783783783,12.062475471698114,0.7085351934051997,12.248278745644598,13.18588066139468,31.017124999999997,49.53742785445421,16.33472972972973,15.078094339622643,35.42675967025998,12.248278745644598,3.29647016534867,49.53742785445421,Good
239,2021-08-28,26.516602902374668,74.55702506596306,12.169125448028675,11.585588697017268,0.6721021220159151,12.997085137085136,10.81472138554217,44.19433817062445,74.55702506596306,15.211406810035843,14.481985871271586,33.60510610079576,12.997085137085136,2.7036803463855423,74.55702506596306,Satisfactory
240,2021-08-29,24.80496723460026,65.01707077326344,11.434249825540823,11.183646967340591,0.6970111915734035,11.914409620991254,11.579367088607595,41.3416120576671,65.01707077326344,14.292812281926029,13.97955870917574,34.85055957867018,11.914409620991254,2.894841772151899,65.01707077326344,Satisfactory
241,2021-08-30,29.395984303466317,71.05554697554697,11.628910212474299,11.280300978179083,0.778529792746114,11.107641242937854,11.89027067669173,48.99330717244386,71.05554697554697,14.536137765592873,14.100376222723854,38.9264896373057,11.107641242937854,2.9725676691729324,71.05554697554697,Satisfactory
242,2021-08-31,20.391602136181575,43.520648648648645,13.932475455820477,12.46728451563692,0.7801622718052738,11.399739130434781,9.505003745318353,33.98600356030263,43.520648648648645,17.415594319775597,15.584105644546149,39.00811359026369,11.399739130434781,2.3762509363295883,43.520648648648645,Good
